student_id,age,gender,parental_education,study_hours_week,attendance_rate,extracurricular,sleep_hours,previous_scores,tutoring,internet_quality,family_income,health_status,final_grade,study_efficiency,sleep_quality
STD01416,0.1754174199982383,5,8,-0.9749054784366259,1.0299911059827862,5,-0.42890483657410083,-0.8692334495757787,3,6,0.8081604675994651,6,-0.9033129433226661,-0.013390686837466673,-0.428904836574101
STD01345,-1.1285245075306216,5,8,0.7150193087998052,-0.08464477135798197,5,0.9805783341399816,-0.7722765552145443,3,6,0.8081604675994651,6,0.8531694192967338,-0.04106115588894689,0.980578334139982
STD01705,1.4793593475270983,5,11,0.08019154186674776,0.008847520310861346,5,-0.33378634039094235,1.580029915935852,3,6,0.8081604675994651,6,1.0646477405630257,0.2506095634361597,-0.3337863403909418
STD00299,-0.25922988917804823,3,8,-1.3642075236638664,0.903257110609465,5,0.003451964258439966,-0.7017624502245559,5,8,-0.4720432393583496,4,-0.7066515745017834,-0.018684245298958842,0.00345196425843996
STD01762,-1.1285245075306216,3,8,-1.2890014467449677,-0.9551618871189927,5,0.9286955180400778,-0.3635151028507049,3,8,0.8081604675994651,4,-1.1915700181697149,-0.021945690167088014,0.9286955180400779
STD00396,0.1754174199982383,5,8,1.1043213540270458,-0.6102792111850363,5,-0.23002070819113232,-0.2202833270897911,5,6,-0.4720432393583496,4,0.8491284322661676,-0.028702835676626987,-0.2300207081911321
STD02045,-0.25922988917804823,3,8,-1.6318526797575947,0.18232766151860466,3,0.003451964258439966,-0.8615209693424987,3,6,0.8081604675994651,6,-1.3074116463792764,-0.018494365431616932,0.00345196425843996
STD00258,-1.1285245075306216,3,11,0.03595267309092505,1.3759125851575074,3,-1.6740924229718188,0.5774074856094534,3,8,-1.7522469463161643,6,0.12579175379483457,0.19948417035879643,-1.674092422971819
STD01805,1.4793593475270983,5,8,0.9937241820874887,-0.9562006903597572,5,0.08992332442494787,-1.2251093231971264,3,4,-0.4720432393583496,6,-0.14360738157623884,-0.04320509642880664,0.08992332442494719
STD01844,-1.5631718167069084,5,10,-0.5944512069645499,0.4939686337480833,5,-0.48943478869065676,-2.57713465266337,3,8,0.8081604675994651,6,-1.900089744195639,0.034938035125277184,-0.4894347886906562
